Marka,Seri,Model,Yil,Yil,Vites_Tipi,Vites_Tipi,Yakit_Tipi,Yakit_Tipi,Kasa_Tipi,Kasa_Tipi,Renk,Kimden,Garanti_Durumu
Ford,Focus,1.6 TDCi Trend,2007.0,2007.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Gri (metalik),Sahibinden,
Skoda,Octavia,1.6 TDI Optimal,2014.0,2014.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Siyah,Sahibinden,
Opel,Astra,1.6 Edition,2015.0,2015.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Siyah,Galeriden,Garantisi Yok
Fiat,Egea,1.6 Multijet Urban,2015.0,2015.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Gri (titanyum),Sahibinden,
Opel,Vectra,1.6 Comfort,2004.0,2004.0,Düz,Düz,LPG & Benzin,LPG & Benzin,"Sedan, 5 Koltuk",Sedan,Gri,Galeriden,Garantisi Yok
Renault,Megane,1.5 dCi Privilege,2012.0,2012.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Gri (Gümüş),Sahibinden,Garantisi Yok
Hyundai,Kona,1.0 T-GDI Style,2022.0,2022.0,Otomatik,Otomatik,Benzin,Benzin,SUV,SUV,Gri,Galeriden,Garantisi Var
Ford,B-Max,1.6 TDCi Titanium,2014.0,2014.0,Düz,Düz,Dizel,Dizel,MPV,MPV,Siyah,Sahibinden,
Fiat,Bravo,1.6 Mjet Active Plus,2011.0,2011.0,Düz,Düz,Dizel,Dizel,"Hatchback/5, 5 Koltuk",Hatchback/5,Gri (metalik),Sahibinden,
Skoda,SuperB,2.0 TSI Laurin & Klement Crystal,2019.0,2019.0,Otomatik,Otomatik,Dizel,Dizel,Sedan,Sedan,Siyah,Galeriden,Garantisi Yok
Honda,Civic,1.5 i-VTEC Eco Executive Plus,2023.0,2023.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,"Sedan, 5 Koltuk",Sedan,Gri,Galeriden,Garantisi Yok
Fiat,Egea,1.4 Fire Mirror,2020.0,2020.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Lacivert,Sahibinden,Garantisi Var
Peugeot,307,1.6 HDi Comfort,2006.0,2006.0,Düz,Düz,Dizel,Dizel,"Hatchback/5, 5 Koltuk",Hatchback/5,Gri,Galeriden,Garantisi Yok
Skoda,SuperB,2.0 TDI Laurin&Klement,2016.0,2016.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Siyah,Galeriden,Garantisi Yok
Renault,Austral,1.3 Hybrid Techno Esprit Alpine,2023.0,2023.0,Otomatik,Otomatik,Hibrit,Hibrit,SUV,SUV,Füme,Sahibinden,
Opel,Corsa,1.2 Twinport Enjoy,2005.0,2005.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Gri (metalik),Sahibinden,Garantisi Yok
Citroen,C-Elysée,1.2 VTi Confort,2015.0,2015.0,Otomatik,Otomatik,Benzin,Benzin,Sedan,Sedan,Beyaz,Galeriden,Garantisi Yok
Renault,Kangoo,1.9 D,2002.0,2002.0,Düz,Düz,Benzin,Benzin,Camlı Van,Camlı Van,Sarı,Galeriden,
Renault,Clio,2.0 Renault Sport,2001.0,2001.0,Düz,Düz,Benzin,Benzin,Hatchback/3,Hatchback/3,Gri,Galeriden,Garantisi Yok
Volkswagen,Polo,1.4 Comfortline,2011.0,2011.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,Garantisi Yok
Renault,Megane,1.6 Privilege,2007.0,2007.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Station wagon,Station wagon,Bej,Sahibinden,Garantisi Yok
Ford,Fiesta,1.6 Titanium,2016.0,2016.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,Garantisi Yok
Opel,Astra,1.4 T Enjoy,2011.0,2011.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Gri (metalik),Sahibinden,
Renault,Megane,1.5 Blue DCI Joy,2022.0,2022.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Gri,Galeriden,Garantisi Yok
Renault,Megane,1.5 dCi Touch,2019.0,2019.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Gri (Gümüş),Sahibinden,
Fiat,Albea,1.2 EL,2005.0,2005.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Beyaz,Sahibinden,
Ford,C-Max,1.6 TDCi Ghia,2004.0,2004.0,Düz,Düz,Dizel,Dizel,MPV,MPV,Mavi,Galeriden,Garantisi Yok
Peugeot,308,1.6 HDi Access,2011.0,2011.0,Düz,Düz,Dizel,Dizel,"Hatchback/5, 5 Koltuk",Hatchback/5,Beyaz,Sahibinden,
Volkswagen,Polo,1.6 TDi Comfortline,2010.0,2010.0,Otomatik,Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Galeriden,Garantisi Yok
Ford,Focus,1.6 TDCi Trend X,2013.0,2013.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Beyaz,Galeriden,Garantisi Yok
Honda,Jazz,1.4 LS Sport,2008.0,2008.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Gri,Sahibinden,-
Volkswagen,Golf,1.6 Midline,2007.0,2007.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Gri (Gümüş),Sahibinden,
Volkswagen,Passat,1.5 TSi R Line,2020.0,2020.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Sedan,Sedan,Beyaz,Galeriden,Garantisi Yok
Opel,Astra,1.6 Comfort,2005.0,2005.0,Düz,Düz,LPG & Benzin,LPG & Benzin,"Sedan, 5 Koltuk",Sedan,Beyaz,Sahibinden,
Opel,Astra,1.6 Edition,2016.0,2016.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Mavi,Galeriden,Garantisi Yok
Renault,Latitude,1.5 dCi Executive,2011.0,2011.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Beyaz,Galeriden,Garantisi Yok
Citroen,C-Elysée,1.2 VTi Confort,2013.0,2013.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Beyaz,Galeriden,Garantisi Yok
Renault,Megane,1.5 dCi Privilege,2012.0,2012.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Siyah,Galeriden,Garantisi Yok
Fiat,Albea,1.2 Dynamic,2004.0,2004.0,Düz,Düz,LPG & Benzin,LPG & Benzin,"Sedan, 5 Koltuk",Sedan,Mavi,Galeriden,Garantisi Yok
Citroen,C3,1.6 HDi SX,2007.0,2007.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Gri,Sahibinden,Garantisi Yok
Citroen,C4 Grand Picasso,1.6 e-HDi Dynamic,2012.0,2012.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,"MPV, 7 Koltuk",MPV,Siyah,Sahibinden,
Honda,Civic,1.6i VTEC Eco Executive,2021.0,2021.0,Otomatik,Otomatik,Benzin,Benzin,Sedan,Sedan,Mavi,Galeriden,Garantisi Var
Skoda,Octavia,1.5 e-Tec Premium,2021.0,2021.0,Yarı Otomatik,Yarı Otomatik,Hibrit,Hibrit,Hatchback/5,Hatchback/5,Siyah,Galeriden,Garantisi Yok
Opel,Astra,1.6 Enjoy,2008.0,2008.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Siyah,Galeriden,Garantisi Yok
Ford,Fiesta,1.4 TDCi Trend,2012.0,2012.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Gri (titanyum),Sahibinden,-
Opel,Astra,1.6 CDTI Design,2017.0,2017.0,Otomatik,Otomatik,Dizel,Dizel,Sedan,Sedan,Gri (Gümüş),Sahibinden,
Renault,Fluence,1.5 dCi Dynamique,2012.0,2012.0,Düz,Düz,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Beyaz,Sahibinden,
Citroen,C3,1.2 PureTech Feel Bold,2024.0,2024.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Kırmızı,Sahibinden,Garantisi Var
Fiat,Egea,1.6 Multijet Easy,2023.0,2023.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Füme,Galeriden,Garantisi Var
Hyundai,i30,1.6 CRDi Elite,2015.0,2015.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,"Hatchback/5, 5 Koltuk",Hatchback/5,Kırmızı,Sahibinden,Garantisi Yok
Skoda,Octavia,1.5 e-Tec Premium,2021.0,2021.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Siyah,Galeriden,Garantisi Yok
Renault,Clio,1.0 TCe Evolution,2023.0,2023.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Mavi (metalik),Galeriden,Garantisi Yok
Honda,Civic,1.4 Sport,2014.0,2014.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,
Volkswagen,Passat Variant,1.5 TSI Elegance,2023.0,2023.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Station wagon,Station wagon,Gri,Sahibinden,
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016.0,2016.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Sedan,Sedan,Lacivert,Galeriden,Garantisi Yok
Fiat,Stilo,1.6 Dynamic,2004.0,2004.0,Düz,Düz,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Gri (Gümüş),Sahibinden,
Volkswagen,Passat,1.4 TSi BlueMotion Trendline,2018.0,2018.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Gri,Sahibinden,Garantisi Yok
Hyundai,Accent Era,1.5 CRDi-VGT Team,2007.0,2007.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Gri (Gümüş),Galeriden,Garantisi Yok
Fiat,Egea,1.3 Multijet Urban,2015.0,2015.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Füme,Galeriden,Garantisi Yok
Citroen,C3,1.2 PureTech Feel,2022.0,2022.0,Düz,Düz,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Beyaz,Sahibinden,
Renault,Megane,1.5 dCi Touch,2017.0,2017.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Beyaz,Sahibinden,Garantisi Yok
Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2017.0,2017.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Galeriden,Garantisi Var
Toyota,Auris,1.4 D-4D Comfort Extra,2010.0,2010.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Gri,Sahibinden,
Fiat,Albea,1.4 Fire Active,2006.0,2006.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Gri,Galeriden,Garantisi Yok
Toyota,Yaris,1.3 Sol,2006.0,2006.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Gri (Gümüş),Sahibinden,
Skoda,Kodiaq,1.5 TSI Prestige,2022.0,2022.0,Otomatik,Otomatik,Benzin,Benzin,SUV,SUV,Lacivert,Galeriden,Garantisi Yok
Opel,Astra,1.6 Edition,2012.0,2012.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Gri,Sahibinden,
Peugeot,5008,1.6 e-HDi Allure,2014.0,2014.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,MPV,MPV,Gri,Sahibinden,
Opel,Astra,1.4 T Dynamic,2016.0,2016.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Beyaz,Galeriden,Garantisi Yok
Skoda,SuperB,1.4 TSI Comfort,2009.0,2009.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Beyaz,Sahibinden,Garantisi Yok
Honda,Jazz,1.3 Elegance,2016.0,2016.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Kırmızı,Sahibinden,
Dacia,Sandero,0.9 TCe Stepway Easy-R,2020.0,2020.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Lacivert,Galeriden,Garantisi Yok
Renault,Megane,1.5 dCi Icon,2018.0,2018.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Siyah,Galeriden,Garantisi Yok
Renault,Laguna,2.0 RXT,2001.0,2001.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Lacivert,Sahibinden,
Citroen,C4 Picasso,1.6 BlueHDi Intensive,2015.0,2015.0,Otomatik,Otomatik,Dizel,Dizel,"MPV, 5 Koltuk",MPV,Siyah,Sahibinden,
Fiat,Albea,1.2 Active,2006.0,2006.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Gri (Gümüş),Sahibinden,
Renault,Fluence,1.5 dCi Business,2012.0,2012.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Gri,Galeriden,Garantisi Var
Ford,Fiesta,1.25 Trend,2016.0,2016.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Beyaz,Galeriden,Garantisi Yok
Renault,Megane,1.6 Privilege,2011.0,2011.0,Düz,Düz,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Beyaz,Galeriden,Garantisi Yok
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015.0,2015.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Mavi (metalik),Sahibinden,Garantisi Yok
Hyundai,i30,1.6 CRDi CW Elite,2012.0,2012.0,Otomatik,Otomatik,Dizel,Dizel,"Station wagon, 5 Koltuk",Station wagon,Beyaz,Sahibinden,Garantisi Yok
Toyota,Corolla,1.6 Touch,2018.0,2018.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Gri,Galeriden,Garantisi Yok
Volkswagen,Passat,2.0 TDi Comfortline,2007.0,2007.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Kahverengi,Sahibinden,Garantisi Yok
Volkswagen,Polo,1.4 Basicline,2005.0,2005.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,Garantisi Yok
Opel,Insignia,1.6 T Cosmo,2013.0,2013.0,Otomatik,Otomatik,Benzin,Benzin,"Sedan, 5 Koltuk",Sedan,Siyah,Galeriden,Garantisi Yok
Ford,Transit,350 L,2020.0,2020.0,Düz,Düz,Dizel,Dizel,Panel Van,Panel Van,Beyaz,Galeriden,
Peugeot,307,1.4 Comfort,2006.0,2006.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Siyah,Sahibinden,
Citroen,C-Elysée,1.2 PureTech Live,2018.0,2018.0,Düz,Düz,Benzin,Benzin,"Sedan, 5 Koltuk",Sedan,Beyaz,Sahibinden,
Fiat,Linea,1.6 Multijet Dynamic Plus,2010.0,2010.0,Düz,Düz,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Gri,Sahibinden,
Renault,Megane,1.5 dCi Icon,2013.0,2013.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Gri,Galeriden,Garantisi Var
Peugeot,106,Quicksilver,2000.0,2000.0,Düz,Düz,Benzin,Benzin,Hatchback/3,Hatchback/3,Siyah,Sahibinden,
Skoda,SuperB,1.4 TSI Active,2017.0,2017.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Beyaz,Sahibinden,
Renault,Clio,1.5 dCi SportTourer Icon,2019.0,2019.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Station wagon,Station wagon,Füme,Galeriden,Garantisi Yok
Ford,Focus,1.6 TDCi Titanium,2013.0,2013.0,Düz,Düz,Benzin,Benzin,"Sedan, 5 Koltuk",Sedan,Beyaz,Galeriden,Garantisi Var
Citroen,C4,1.5 BlueHDi Feel Bold,2023.0,2023.0,Otomatik,Otomatik,Dizel,Dizel,SUV,SUV,Mavi,Galeriden,Garantisi Var
Volkswagen,Polo,1.4 Comfortline,2012.0,2012.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Siyah,Galeriden,Garantisi Yok
Ford,Fiesta,1.4 TDCi Titanium X,2010.0,2010.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Füme,Sahibinden,Garantisi Yok
Peugeot,508,1.6 e-HDi Allure,2014.0,2014.0,Otomatik,Otomatik,Dizel,Dizel,Sedan,Sedan,Füme,Galeriden,Garantisi Yok
Ford,C-Max,1.6 TDCi Trend,2004.0,2004.0,Düz,Düz,Dizel,Dizel,MPV,MPV,Gri (Gümüş),Sahibinden,
Honda,City,1.4 LS,2009.0,2009.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Beyaz,Galeriden,Garantisi Yok
Renault,Megane,1.6 Authentique,2004.0,2004.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Kahverengi,Sahibinden,
Renault,Megane,1.5 Blue DCI Touch,2020.0,2020.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Gri (titanyum),Sahibinden,
Toyota,Corolla,1.8 Hybrid Dream,2020.0,2020.0,Otomatik,Otomatik,Hibrit,Hibrit,Sedan,Sedan,Mavi,Sahibinden,Garantisi Yok
Renault,Megane,1.5 dCi Expression,2008.0,2008.0,Düz,Düz,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Gri (Gümüş),Galeriden,Garantisi Yok
Fiat,Palio,1.3 Multijet Active Sole,2011.0,2011.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Galeriden,Garantisi Yok
Volkswagen,Polo,1.4 Basicline,2004.0,2004.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Kırmızı,Sahibinden,Garantisi Yok
Skoda,Fabia,1.4 Special,2004.0,2004.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Yeşil (metalik),Sahibinden,
Fiat,Punto,EVO 1.3 Multijet Active,2011.0,2011.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Gri,Sahibinden,Garantisi Yok
Skoda,Octavia,1.6 TDI Style,2019.0,2019.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,Garantisi Yok
Hyundai,Accent,1.5 GLS,2000.0,2000.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,Garantisi Yok
Opel,Corsa,1.2 T Ultimate,2021.0,2021.0,Otomatik,Otomatik,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Turuncu,Sahibinden,Garantisi Yok
Toyota,Corolla,1.6 Terra,2002.0,2002.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Gri,Sahibinden,
Skoda,SuperB,1.6 TDI Prestige,2018.0,2018.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Füme,Galeriden,Garantisi Yok
Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2012.0,2012.0,Düz,Düz,Benzin,Benzin,"Sedan, 5 Koltuk",Sedan,Gri (titanyum),Sahibinden,Garantisi Yok
Renault,Talisman,1.6 dCi Touch,2016.0,2016.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Kahverengi,Sahibinden,
Peugeot,308,1.6 e-HDi Active,2017.0,2017.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,Garantisi Yok
Citroen,C3,1.4 HDi Attraction,2013.0,2013.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Galeriden,Garantisi Yok
Ford,Focus,1.5 EcoBlue Active X,2023.0,2023.0,Otomatik,Otomatik,Dizel,Dizel,Station wagon,Station wagon,Mavi,Galeriden,Garantisi Var
Fiat,Linea,1.3 Multijet Easy,2012.0,2012.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Siyah,Sahibinden,Garantisi Yok
Volkswagen,Jetta,1.6 Comfortline,2007.0,2007.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Gri (Gümüş),Sahibinden,
Renault,Clio,1.5 dCi Expression,2011.0,2011.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Galeriden,Garantisi Yok
Renault,Symbol,1.5 dCi Expression,2010.0,2010.0,Düz,Düz,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Füme,Sahibinden,
Renault,Megane,1.6 Dynamique,2005.0,2005.0,Düz,Düz,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Kahverengi,Sahibinden,Garantisi Yok
Renault,Symbol,1.5 dCi Authentique,2009.0,2009.0,Düz,Düz,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Gri,Sahibinden,
Renault,Symbol,1.5 dCi Expression Plus,2010.0,2010.0,Düz,Düz,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Şampanya,Sahibinden,
Skoda,SuperB,1.4 TSI Elegance,2011.0,2011.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Siyah,Sahibinden,
Renault,Megane,1.2 TCe Icon,2016.0,2016.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Sedan,Sedan,Füme,Sahibinden,
Citroen,C1,1.0 SX Sensodrive,2011.0,2011.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Kırmızı,Sahibinden,
Opel,Astra,1.4 T Enjoy Plus,2011.0,2011.0,Otomatik,Otomatik,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Siyah,Sahibinden,
Renault,Clio,1.0 SCe Joy,2023.0,2023.0,Düz,Düz,Benzin,Benzin,Hatchback/5,Hatchback/5,Kırmızı,Sahibinden,Garantisi Yok
Renault,Taliant,1.0 T Joy,2022.0,2022.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Mavi (metalik),Sahibinden,
Volkswagen,Touran,1.6 FSi Comfortline,2004.0,2004.0,Düz,Düz,LPG & Benzin,LPG & Benzin,MPV,MPV,Füme,Galeriden,Garantisi Yok
Honda,Jazz,1.4 LS Sport,2005.0,2005.0,Otomatik,Otomatik,Benzin,Benzin,Hatchback/5,Hatchback/5,Siyah,Sahibinden,Garantisi Yok
Toyota,Corolla,1.6 Vision,2020.0,2020.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Sedan,Sedan,Mavi (metalik),Sahibinden,
Renault,Megane,1.3 TCe Icon,2021.0,2021.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Sedan,Sedan,Lacivert,Sahibinden,
Opel,Astra,1.4 T Sport,2012.0,2012.0,Otomatik,Otomatik,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Gri,Galeriden,Garantisi Yok
Toyota,Corolla,1.6 Advance,2014.0,2014.0,Düz,Düz,Benzin,Benzin,"Sedan, 5 Koltuk",Sedan,Beyaz,Sahibinden,
Renault,Clio,1.4 RNA,2000.0,2000.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Kırmızı,Sahibinden,
Volkswagen,Passat,1.5 TSi Business,2022.0,2022.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Sedan,Sedan,Gri,Sahibinden,
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016.0,2016.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Gri (metalik),Galeriden,Garantisi Var
Ford,Focus,1.6 Collection,2005.0,2005.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Lacivert,Sahibinden,
Ford,Mondeo,2.0 TDCi Selective,2013.0,2013.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Gri,Sahibinden,
Citroen,C3 Aircross,1.6 BlueHDI Feel,2017.0,2017.0,Düz,Düz,Dizel,Dizel,SUV,SUV,Kahverengi,Sahibinden,
Toyota,Auris,1.4 D-4D Comfort Plus,2011.0,2011.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Beyaz,Sahibinden,-
Renault,Fluence,1.5 dCi Touch,2013.0,2013.0,Düz,Düz,Dizel,Dizel,Sedan,Sedan,Gri,Sahibinden,Garantisi Yok
Ford,Mondeo,1.6 TDCi Titanium,2012.0,2012.0,Düz,Düz,Dizel,Dizel,"Sedan, 5 Koltuk",Sedan,Kahverengi,Sahibinden,
Ford,Focus,1.6 Collection,2005.0,2005.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Beyaz,Sahibinden,Garantisi Yok
Hyundai,i20,1.4 CRDi Jump,2013.0,2013.0,Düz,Düz,Dizel,Dizel,"Hatchback/5, 5 Koltuk",Hatchback/5,Gri,Sahibinden,
Honda,Civic,1.5 i-VTEC RS,2017.0,2017.0,Otomatik,Otomatik,LPG & Benzin,LPG & Benzin,Sedan,Sedan,Siyah,Galeriden,Garantisi Yok
Volkswagen,Arteon,2.0 TDI R Line,2019.0,2019.0,Otomatik,Otomatik,Dizel,Dizel,Hatchback/5,Hatchback/5,Füme,Galeriden,Garantisi Yok
Volkswagen,VW CC,1.4 TSi Exclusive,2013.0,2013.0,Yarı Otomatik,Yarı Otomatik,Benzin,Benzin,Coupe,Coupe,Beyaz,Sahibinden,Garantisi Yok
Ford,Focus,1.6 Ti-VCT Trend X,2017.0,2017.0,Düz,Düz,Benzin,Benzin,Sedan,Sedan,Mavi,Galeriden,Garantisi Var
Toyota,Corolla,1.4 D-4D Comfort Extra,2011.0,2011.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,Sedan,Sedan,Füme,Sahibinden,
Citroen,C3,1.2 PureTech Feel,2023.0,2023.0,Düz,Düz,Benzin,Benzin,"Hatchback/5, 5 Koltuk",Hatchback/5,Mavi (metalik),Sahibinden,
Toyota,Corolla,1.6 Terra,2004.0,2004.0,Düz,Düz,LPG & Benzin,LPG & Benzin,"Sedan, 5 Koltuk",Sedan,Beyaz,Galeriden,Garantisi Yok
Volkswagen,Polo,1.6 TDi Trendline,2018.0,2018.0,Düz,Düz,Dizel,Dizel,Hatchback/5,Hatchback/5,Füme,Sahibinden,Garantisi Yok
Peugeot,5008,1.6 HDi Premium Pack,2010.0,2010.0,Yarı Otomatik,Yarı Otomatik,Dizel,Dizel,MPV,MPV,Gri (titanyum),Sahibinden,
Volkswagen,Scirocco,1.4 TSi Sportline,2011.0,2011.0,Düz,Düz,Benzin,Benzin,"Coupe, 4 Koltuk",Coupe,Kırmızı,Sahibinden,Garantisi Yok
Toyota,Corolla,1.5 Dream X-Pack,2023.0,2023.0,Otomatik,Otomatik,Benzin,Benzin,"Sedan, 5 Koltuk",Sedan,Lacivert,Sahibinden,Garantisi Var
