Marka,Seri,Model,Yil,Yil,Vites_Tipi,Vites_Tipi,Yakit_Tipi,Yakit_Tipi,Kasa_Tipi,Kasa_Tipi,Renk,Kimden,Garanti_Durumu
,,,2011.0,,Düz,,LPG & Benzin,,Sedan,,Gri,Sahibinden,Garantisi Yok
,,,2015.0,,Otomatik,,Benzin,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2004.0,,Düz,,LPG & Benzin,,Hatchback/5,,Gri,Sahibinden,
,,,2023.0,,Düz,,Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Yok
,,,2022.0,,Otomatik,,Benzin,,"Sedan, 5 Koltuk",,Beyaz,Galeriden,Garantisi Var
,,,2019.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,
,,,2018.0,,Otomatik,,Dizel,,"Sedan, 5 Koltuk",,Beyaz,Galeriden,Garantisi Yok
,,,2020.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2018.0,,Otomatik,,Dizel,,Sedan,,Gri (titanyum),Sahibinden,
,,,2020.0,,Yarı Otomatik,,Benzin,,Sedan,,Mavi (metalik),Sahibinden,
,,,2022.0,,Otomatik,,Hibrit,,Sedan,,Beyaz,Galeriden,Garantisi Var
,,,2004.0,,Düz,,LPG & Benzin,,"Hatchback/5, 5 Koltuk",,Gri (metalik),Sahibinden,
,,,2013.0,,Yarı Otomatik,,Benzin,,"Hatchback/5, 5 Koltuk",,Beyaz,Galeriden,Garantisi Var
,,,2020.0,,Düz,,Benzin,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2018.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Beyaz,Galeriden,Garantisi Yok
,,,2011.0,,Düz,,Benzin,,Hatchback/5,,Lacivert,Sahibinden,Garantisi Var
,,,2011.0,,Düz,,Dizel,,Camlı Van,,Gri,Galeriden,
,,,2012.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Gri (Gümüş),Sahibinden,Garantisi Yok
,,,2022.0,,Otomatik,,LPG & Benzin,,Sedan,,Füme,Galeriden,Garantisi Yok
,,,2010.0,,Otomatik,,Benzin,,", 4 Koltuk",,Beyaz,Sahibinden,Garantisi Var
,,,2018.0,,Yarı Otomatik,,Benzin,,Hatchback/5,,Gri,Galeriden,Garantisi Yok
,,,2006.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Kırmızı,Sahibinden,
,,,2015.0,,Düz,,Benzin,,Hatchback/5,,Beyaz,Sahibinden,
,,,2013.0,,Yarı Otomatik,,Dizel,,Sedan,,Gri,Galeriden,Garantisi Yok
,,,2002.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Gri (Gümüş),Sahibinden,
,,,2015.0,,Düz,,Dizel,,Sedan,,Siyah,Galeriden,Garantisi Var
,,,2011.0,,Düz,,LPG & Benzin,,Hatchback/5,,Gri (Gümüş),Sahibinden,
,,,2017.0,,Düz,,LPG & Benzin,,Sedan,,Beyaz,Sahibinden,
,,,2008.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Gri,Sahibinden,
,,,2017.0,,Düz,,LPG & Benzin,,Sedan,,Bordo,Sahibinden,
,,,2016.0,,Otomatik,,Dizel,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2015.0,,Düz,,Benzin,,"Hatchback/5, 5 Koltuk",,Mavi (metalik),Sahibinden,
,,,2024.0,,Otomatik,,Benzin,,Sedan,,Kahverengi,Galeriden,Garantisi Var
,,,2011.0,,Düz,,Dizel,,Sedan,,Füme,Sahibinden,
,,,2015.0,,Düz,,LPG & Benzin,,Sedan,,Bordo,Sahibinden,
,,,2009.0,,Düz,,LPG & Benzin,,Hatchback/5,,Gri,Sahibinden,-
,,,2021.0,,Otomatik,,Benzin,,Sedan,,Gri,Galeriden,Garantisi Var
,,,2012.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Gri (Gümüş),Sahibinden,
,,,2014.0,,Düz,,Benzin,,Hatchback/5,,Mavi,Sahibinden,
,,,2017.0,,Otomatik,,Dizel,,Hatchback/5,,Beyaz,Galeriden,Garantisi Yok
,,,2020.0,,Yarı Otomatik,,Benzin,,"Sedan, 5 Koltuk",,Gri (metalik),Sahibinden,
,,,2018.0,,Otomatik,,Dizel,,Sedan,,Mavi,Galeriden,Garantisi Yok
,,,2021.0,,Otomatik,,Dizel,,Hatchback/5,,Mavi,Galeriden,Garantisi Yok
,,,2011.0,,Düz,,Benzin,,"Sedan, 5 Koltuk",,Füme,Sahibinden,
,,,2016.0,,Yarı Otomatik,,Dizel,,"Coupe, 4 Koltuk",,Gri,Sahibinden,
,,,2011.0,,Yarı Otomatik,,Benzin,,Hatchback/5,,Lacivert,Sahibinden,
,,,2009.0,,Düz,,Dizel,,Sedan,,Gri (Gümüş),Sahibinden,
,,,2004.0,,Düz,,LPG & Benzin,,"Hatchback/5, 5 Koltuk",,Beyaz,Sahibinden,
,,,2016.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,Garantisi Yok
,,,2019.0,,Düz,,LPG & Benzin,,Sedan,,Füme,Sahibinden,
,,,2016.0,,Otomatik,,Dizel,,Sedan,,Füme,Sahibinden,Garantisi Yok
,,,2016.0,,Düz,,LPG & Benzin,,Sedan,,Beyaz,Sahibinden,
,,,2023.0,,Otomatik,,Benzin,,Hatchback/5,,Kırmızı,Sahibinden,
,,,2017.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2013.0,,Yarı Otomatik,,LPG & Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Var
,,,2006.0,,Düz,,Dizel,,MPV,,Turuncu,Sahibinden,
,,,2001.0,,Düz,,LPG & Benzin,,Sedan,,Gri (Gümüş),Sahibinden,
,,,2017.0,,Otomatik,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2016.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Sahibinden,Garantisi Yok
,,,2004.0,,Düz,,LPG & Benzin,,"Sedan, 5 Koltuk",,Mavi,Sahibinden,
,,,2018.0,,Yarı Otomatik,,Dizel,,Sedan,,Mavi (metalik),Sahibinden,
,,,2020.0,,Düz,,Benzin,,Sedan,,Beyaz,Sahibinden,
,,,2013.0,,Otomatik,,Dizel,,Sedan,,Siyah,Sahibinden,
,,,2014.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2007.0,,Düz,,Dizel,,Sedan,,Siyah,Galeriden,Garantisi Yok
,,,2001.0,,Düz,,Benzin,,Hatchback/3,,Beyaz,Sahibinden,Garantisi Yok
,,,2008.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Siyah,Galeriden,Garantisi Yok
,,,2003.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2006.0,,Düz,,LPG & Benzin,,Hatchback/5,,Gri,Sahibinden,
,,,2004.0,,Yarı Otomatik,,LPG & Benzin,,MPV,,Mavi (metalik),Sahibinden,
,,,2006.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Gri (Gümüş),Sahibinden,
,,,2006.0,,Yarı Otomatik,,Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Yok
,,,2021.0,,Yarı Otomatik,,Hibrit,,Hatchback/5,,Gri,Sahibinden,
,,,2016.0,,Düz,,Benzin,,Hatchback/5,,Gri (Gümüş),Sahibinden,
,,,2017.0,,Otomatik,,Benzin,,"Hatchback/5, 5 Koltuk",,Beyaz,Galeriden,Garantisi Yok
,,,2017.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Füme,Sahibinden,
,,,2019.0,,Düz,,Benzin,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,
,,,2012.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Siyah,Sahibinden,Garantisi Yok
,,,2017.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2012.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Gri,Galeriden,Garantisi Yok
,,,2014.0,,Düz,,LPG & Benzin,,Hatchback/5,,Beyaz,Sahibinden,Garantisi Yok
,,,2012.0,,Yarı Otomatik,,LPG & Benzin,,"Hatchback/5, 5 Koltuk",,Beyaz,Sahibinden,
,,,2019.0,,Yarı Otomatik,,Dizel,,Station wagon,,Siyah,Galeriden,Garantisi Var
,,,2012.0,,Düz,,Dizel,,Sedan,,Gri (metalik),Sahibinden,
,,,2013.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2011.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2015.0,,Yarı Otomatik,,Dizel,,"Station wagon, 5 Koltuk",,Beyaz,Galeriden,Garantisi Yok
,,,2018.0,,Düz,,Benzin,,Hatchback/5,,Beyaz,Sahibinden,
,,,2014.0,,Yarı Otomatik,,Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Var
,,,2014.0,,Yarı Otomatik,,Benzin,,Coupe,,Kahverengi,Sahibinden,Garantisi Yok
,,,2003.0,,Düz,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,Garantisi Yok
,,,2011.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Gri (metalik),Sahibinden,
,,,2004.0,,Düz,,LPG & Benzin,,Sedan,,Bej,Sahibinden,
,,,2021.0,,Otomatik,,Benzin,,SUV,,Beyaz,Galeriden,Garantisi Yok
,,,2014.0,,Düz,,Benzin,,"Sedan, 5 Koltuk",,Beyaz,Galeriden,Garantisi Yok
,,,2021.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2016.0,,Yarı Otomatik,,Benzin,,Hatchback/5,,Mavi,Sahibinden,
,,,2010.0,,Düz,,Dizel,,"Hatchback/5, 5 Koltuk",,Siyah,Sahibinden,
,,,2010.0,,Düz,,LPG & Benzin,,Hatchback/5,,Siyah,Sahibinden,
,,,2020.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,
,,,2018.0,,Düz,,Benzin,,Sedan,,Gri,Galeriden,Garantisi Yok
,,,2015.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Beyaz,Galeriden,Garantisi Yok
,,,2016.0,,Yarı Otomatik,,Dizel,,Sedan,,Beyaz,Sahibinden,
,,,2014.0,,Düz,,Dizel,,Hatchback/5,,Kırmızı,Sahibinden,Garantisi Yok
,,,2010.0,,Otomatik,,Dizel,,Hatchback/5,,Füme,Galeriden,Garantisi Yok
,,,2016.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,Garantisi Yok
,,,2000.0,,Düz,,LPG & Benzin,,Hatchback/5,,Gri,Sahibinden,
,,,2004.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Gri,Sahibinden,
,,,2001.0,,Düz,,LPG & Benzin,,Hatchback/5,,Gri (metalik),Sahibinden,
,,,2005.0,,Düz,,Dizel,,Hatchback/5,,Yeşil,Sahibinden,
,,,2022.0,,Otomatik,,Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Yok
,,,2016.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,Garantisi Yok
,,,2014.0,,Yarı Otomatik,,Benzin,,"Sedan, 5 Koltuk",,Beyaz,Sahibinden,
,,,2020.0,,Yarı Otomatik,,Dizel,,Sedan,,Siyah,Galeriden,Garantisi Yok
,,,2016.0,,Yarı Otomatik,,Dizel,,Sedan,,Gri,Sahibinden,
,,,2021.0,,Otomatik,,Benzin,,Sedan,,Mavi,Sahibinden,
,,,2022.0,,Otomatik,,Dizel,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2020.0,,Otomatik,,Benzin,,Hatchback/5,,Kırmızı,Galeriden,Garantisi Yok
,,,2013.0,,Düz,,Benzin,,Hatchback/5,,Beyaz,Sahibinden,Garantisi Yok
,,,2013.0,,Düz,,LPG & Benzin,,"Station wagon, 5 Koltuk",,Beyaz,Galeriden,Garantisi Yok
,,,2013.0,,Yarı Otomatik,,Dizel,,"Hatchback/5, 5 Koltuk",,Kırmızı,Sahibinden,
,,,2021.0,,Düz,,Benzin,,Sedan,,Mavi (metalik),Sahibinden,
,,,2000.0,,Düz,,Benzin,,Hatchback/5,,Gri,Sahibinden,
,,,2012.0,,Düz,,Benzin,,Hatchback/5,,Siyah,Galeriden,Garantisi Yok
,,,2023.0,,Düz,,Benzin,,"Hatchback/5, 5 Koltuk",,Kırmızı,Sahibinden,Garantisi Var
,,,2019.0,,Yarı Otomatik,,Dizel,,Hatchback/5,,Beyaz,Sahibinden,Garantisi Yok
,,,2017.0,,Düz,,Benzin,,Sedan,,Gri,Sahibinden,
,,,2015.0,,Yarı Otomatik,,Benzin,,SUV,,Beyaz,Sahibinden,
,,,2013.0,,Otomatik,,Dizel,,Hatchback/5,,Beyaz,Galeriden,Garantisi Var
,,,2016.0,,Otomatik,,Benzin,,"Hatchback/5, 5 Koltuk",,Beyaz,Sahibinden,
,,,2016.0,,Yarı Otomatik,,Benzin,,Sedan,,Gri,Galeriden,Garantisi Yok
,,,2006.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Bordo,Sahibinden,-
,,,2019.0,,Düz,,Benzin,,Sedan,,Beyaz,Sahibinden,Garantisi Yok
,,,2017.0,,Otomatik,,LPG & Benzin,,Station wagon,,Beyaz,Sahibinden,-
